UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,185,88.1,81.7,1,
62f3575ab51f8a773cde8ed1,124,61.4,69.1,0,
62f3575ab51f8a773cde8ed1,6,23.0,14.3,1,
62f3575ab51f8a773cde8ed1,36,15.1,12.9,0,
62f3575ab51f8a773cde8ed1,66,43.6,42.9,0,
62f3575ab51f8a773cde8ed1,112,74.9,58.5,1,
62f3575ab51f8a773cde8ed1,120,59.5,60.3,0,
62f3575ab51f8a773cde8ed1,4,14.6,20.6,0,
62f3575ab51f8a773cde8ed1,135,54.6,60.8,0,
62f3575ab51f8a773cde8ed1,190,85.7,91.8,0,
62f3575ab51f8a773cde8ed1,110,56.0,72.9,0,
62f3575ab51f8a773cde8ed1,108,61.6,66.0,0,
62f3575ab51f8a773cde8ed1,16,1.7,1.5,1,
62f3575ab51f8a773cde8ed1,147,51.0,53.3,1,
62f3575ab51f8a773cde8ed1,39,19.2,0.6,0,
62f3575ab51f8a773cde8ed1,51,25.8,46.5,1,
62f3575ab51f8a773cde8ed1,162,76.0,81.8,0,
62f3575ab51f8a773cde8ed1,200,88.1,92.4,1,
62f3575ab51f8a773cde8ed1,145,61.7,63.2,1,
62f3575ab51f8a773cde8ed1,101,56.9,63.5,1,
62f3575ab51f8a773cde8ed1,97,33.7,49.1,0,
62f3575ab51f8a773cde8ed1,115,71.2,64.0,0,
62f3575ab51f8a773cde8ed1,79,27.8,30.4,1,
62f3575ab51f8a773cde8ed1,4,2.8,11.8,1,
62f3575ab51f8a773cde8ed1,36,13.8,15.3,1,
62f3575ab51f8a773cde8ed1,12,2.0,18.4,1,
62f3575ab51f8a773cde8ed1,168,78.6,81.8,1,
62f3575ab51f8a773cde8ed1,94,25.9,36.6,0,
62f3575ab51f8a773cde8ed1,89,42.0,28.5,0,
62f3575ab51f8a773cde8ed1,46,14.6,9.6,0,
62f3575ab51f8a773cde8ed1,106,71.1,55.9,1,
62f3575ab51f8a773cde8ed1,134,67.8,64.1,1,
62f3575ab51f8a773cde8ed1,109,55.2,63.8,0,
62f3575ab51f8a773cde8ed1,65,30.4,26.1,1,
62f3575ab51f8a773cde8ed1,122,68.6,59.4,0,
62f3575ab51f8a773cde8ed1,176,82.6,91.0,1,
62f3575ab51f8a773cde8ed1,5,3.0,4.3,1,
62f3575ab51f8a773cde8ed1,101,58.0,58.8,0,
62f3575ab51f8a773cde8ed1,43,17.3,15.1,1,
62f3575ab51f8a773cde8ed1,86,45.4,47.1,0,
62f3575ab51f8a773cde8ed1,126,52.4,53.1,0,
62f3575ab51f8a773cde8ed1,93,41.5,35.0,0,
62f3575ab51f8a773cde8ed1,54,47.4,26.2,0,
62f3575ab51f8a773cde8ed1,124,61.7,62.7,0,
62f3575ab51f8a773cde8ed1,183,92.4,88.3,1,
62f3575ab51f8a773cde8ed1,134,71.8,59.6,0,
62f3575ab51f8a773cde8ed1,93,29.5,30.0,1,
62f3575ab51f8a773cde8ed1,181,80.7,91.2,0,
62f3575ab51f8a773cde8ed1,170,76.9,81.3,1,
62f3575ab51f8a773cde8ed1,77,31.6,45.4,1,
62f3575ab51f8a773cde8ed1,48,7.8,9.1,0,
62f3575ab51f8a773cde8ed1,43,21.4,17.5,0,
62f3575ab51f8a773cde8ed1,10,21.5,19.8,0,
62f3575ab51f8a773cde8ed1,91,32.7,37.3,1,
62f3575ab51f8a773cde8ed1,47,24.2,18.7,0,
62f3575ab51f8a773cde8ed1,55,28.9,35.8,1,
62f3575ab51f8a773cde8ed1,157,88.1,95.4,0,
62f3575ab51f8a773cde8ed1,200,96.6,80.1,1,
62f3575ab51f8a773cde8ed1,70,44.1,37.7,1,
62f3575ab51f8a773cde8ed1,181,75.6,94.2,0,
62f3575ab51f8a773cde8ed1,93,39.4,42.3,1,
62f3575ab51f8a773cde8ed1,118,67.2,68.0,0,
62f3575ab51f8a773cde8ed1,44,18.6,1.0,1,
62f3575ab51f8a773cde8ed1,194,76.4,82.4,1,
62f3575ab51f8a773cde8ed1,81,29.9,39.4,0,
62f3575ab51f8a773cde8ed1,117,58.3,74.5,0,
62f3575ab51f8a773cde8ed1,97,28.3,26.3,0,
62f3575ab51f8a773cde8ed1,98,35.5,33.3,1,
62f3575ab51f8a773cde8ed1,93,42.9,46.2,1,
62f3575ab51f8a773cde8ed1,175,95.4,86.8,1,
62f3575ab51f8a773cde8ed1,120,51.8,59.7,1,
62f3575ab51f8a773cde8ed1,85,32.9,26.8,0,
62f3575ab51f8a773cde8ed1,102,50.5,60.4,1,
62f3575ab51f8a773cde8ed1,129,70.4,69.5,1,
62f3575ab51f8a773cde8ed1,119,55.0,53.5,0,
62f3575ab51f8a773cde8ed1,80,35.9,40.0,0,
62f3575ab51f8a773cde8ed1,189,77.7,81.9,1,
62f3575ab51f8a773cde8ed1,60,45.0,42.8,0,
62f3575ab51f8a773cde8ed1,59,42.5,38.4,0,
62f3575ab51f8a773cde8ed1,179,96.1,87.2,0,
62f3575ab51f8a773cde8ed1,90,44.9,43.7,1,
62f3575ab51f8a773cde8ed1,82,41.7,37.2,0,
62f3575ab51f8a773cde8ed1,139,54.1,50.6,0,
62f3575ab51f8a773cde8ed1,101,65.2,68.9,0,
62f3575ab51f8a773cde8ed1,141,56.9,63.6,0,
62f3575ab51f8a773cde8ed1,10,0.2,20.0,0,
62f3575ab51f8a773cde8ed1,162,94.5,96.2,1,
62f3575ab51f8a773cde8ed1,75,44.2,28.1,1,
62f3575ab51f8a773cde8ed1,106,51.8,68.1,0,
62f3575ab51f8a773cde8ed1,22,23.7,10.6,0,
62f3575ab51f8a773cde8ed1,121,50.4,65.8,1,
62f3575ab51f8a773cde8ed1,192,83.7,91.7,0,
62f3575ab51f8a773cde8ed1,3,5.8,9.0,1,
62f3575ab51f8a773cde8ed1,67,38.2,31.6,0,
62f3575ab51f8a773cde8ed1,155,93.8,91.2,0,
62f3575ab51f8a773cde8ed1,113,70.1,51.9,0,
62f3575ab51f8a773cde8ed1,72,29.2,35.5,1,
62f3575ab51f8a773cde8ed1,181,96.4,78.4,1,
62f3575ab51f8a773cde8ed1,129,62.8,69.5,1,
62f3575ab51f8a773cde8ed1,180,83.4,84.5,0,
62f3575ab51f8a773cde8ed1,196,76.5,96.3,0,
62f3575ab51f8a773cde8ed1,50,17.1,23.2,0,
62f3575ab51f8a773cde8ed1,11,10.8,8.1,0,
62f3575ab51f8a773cde8ed1,150,61.8,73.9,0,
62f3575ab51f8a773cde8ed1,82,34.1,48.2,1,
62f3575ab51f8a773cde8ed1,182,84.8,92.0,0,
62f3575ab51f8a773cde8ed1,89,31.7,47.5,1,
62f3575ab51f8a773cde8ed1,40,14.2,10.0,0,
62f3575ab51f8a773cde8ed1,147,67.7,72.8,0,
62f3575ab51f8a773cde8ed1,40,6.2,24.7,0,
62f3575ab51f8a773cde8ed1,166,93.4,75.7,0,
62f3575ab51f8a773cde8ed1,111,67.9,65.7,1,
62f3575ab51f8a773cde8ed1,131,54.4,55.8,1,
62f3575ab51f8a773cde8ed1,55,36.6,33.8,1,
62f3575ab51f8a773cde8ed1,44,1.7,17.5,0,
62f3575ab51f8a773cde8ed1,37,15.2,5.7,1,
62f3575ab51f8a773cde8ed1,178,87.9,81.5,0,
62f3575ab51f8a773cde8ed1,185,85.6,82.1,0,
62f3575ab51f8a773cde8ed1,106,60.7,60.2,1,
62f3575ab51f8a773cde8ed1,37,6.1,19.7,1,
62f3575ab51f8a773cde8ed1,70,32.5,40.1,0,
62f3575ab51f8a773cde8ed1,20,17.8,6.4,1,
62f3575ab51f8a773cde8ed1,191,80.5,83.4,1,
62f3575ab51f8a773cde8ed1,35,18.0,18.3,1,
62f3575ab51f8a773cde8ed1,134,58.9,54.5,1,
62f3575ab51f8a773cde8ed1,174,85.8,99.3,1,
62f3575ab51f8a773cde8ed1,106,55.6,68.2,1,
62f3575ab51f8a773cde8ed1,79,46.5,32.5,1,
62f3575ab51f8a773cde8ed1,90,37.8,32.9,0,
62f3575ab51f8a773cde8ed1,11,24.0,10.6,0,
62f3575ab51f8a773cde8ed1,93,30.8,39.8,0,
62f3575ab51f8a773cde8ed1,36,8.2,24.7,0,
62f3575ab51f8a773cde8ed1,180,98.4,75.7,1,
62f3575ab51f8a773cde8ed1,189,98.6,97.6,1,
62f3575ab51f8a773cde8ed1,174,75.9,93.6,0,
62f3575ab51f8a773cde8ed1,41,22.0,17.0,0,
62f3575ab51f8a773cde8ed1,107,56.1,74.2,0,
62f3575ab51f8a773cde8ed1,37,20.8,8.6,1,
62f3575ab51f8a773cde8ed1,178,99.8,89.9,1,
62f3575ab51f8a773cde8ed1,87,26.9,27.0,0,
62f3575ab51f8a773cde8ed1,150,55.7,51.3,0,
62f3575ab51f8a773cde8ed1,50,18.8,0.7,1,
62f3575ab51f8a773cde8ed1,91,35.5,47.0,1,
62f3575ab51f8a773cde8ed1,138,64.4,62.2,0,
62f3575ab51f8a773cde8ed1,167,85.8,76.9,0,
62f3575ab51f8a773cde8ed1,55,31.8,28.1,0,
62f3575ab51f8a773cde8ed1,72,25.6,29.6,0,
62f3575ab51f8a773cde8ed1,193,79.4,94.0,1,
62f3575ab51f8a773cde8ed1,139,67.6,57.0,1,
62f3575ab51f8a773cde8ed1,92,28.5,46.0,1,
62f3575ab51f8a773cde8ed1,20,25.0,18.1,0,
62f3575ab51f8a773cde8ed1,156,84.3,85.5,0,
62f3575ab51f8a773cde8ed1,170,98.3,86.2,1,
62f3575ab51f8a773cde8ed1,160,80.2,92.5,1,
62f3575ab51f8a773cde8ed1,45,16.6,12.6,1,
62f3575ab51f8a773cde8ed1,196,84.8,83.5,1,
62f3575ab51f8a773cde8ed1,89,35.4,42.9,1,
62f3575ab51f8a773cde8ed1,170,83.3,93.5,0,
62f3575ab51f8a773cde8ed1,111,54.8,56.5,1,
62f3575ab51f8a773cde8ed1,28,23.9,11.4,1,
62f3575ab51f8a773cde8ed1,95,48.4,42.6,0,
62f3575ab51f8a773cde8ed1,58,40.0,31.1,0,
62f3575ab51f8a773cde8ed1,136,56.5,51.8,1,
62f3575ab51f8a773cde8ed1,128,50.1,55.7,0,
62f3575ab51f8a773cde8ed1,31,3.6,0.3,0,
62f3575ab51f8a773cde8ed1,190,85.1,83.2,1,
62f3575ab51f8a773cde8ed1,11,12.8,12.4,1,
62f3575ab51f8a773cde8ed1,162,90.1,82.7,1,
62f3575ab51f8a773cde8ed1,113,61.0,58.5,0,
62f3575ab51f8a773cde8ed1,18,17.1,18.8,1,
62f3575ab51f8a773cde8ed1,115,56.3,52.8,0,
62f3575ab51f8a773cde8ed1,118,67.8,68.3,1,
62f3575ab51f8a773cde8ed1,112,62.0,64.3,1,
62f3575ab51f8a773cde8ed1,21,18.9,4.1,1,
62f3575ab51f8a773cde8ed1,67,48.6,34.1,0,
62f3575ab51f8a773cde8ed1,165,89.7,90.7,0,
62f3575ab51f8a773cde8ed1,108,52.9,64.5,0,
62f3575ab51f8a773cde8ed1,50,11.4,10.5,0,
62f3575ab51f8a773cde8ed1,97,39.8,41.3,0,
62f3575ab51f8a773cde8ed1,42,9.3,11.4,0,
62f3575ab51f8a773cde8ed1,192,87.3,93.6,1,
62f3575ab51f8a773cde8ed1,144,54.2,51.5,1,
62f3575ab51f8a773cde8ed1,65,41.9,28.3,1,
62f3575ab51f8a773cde8ed1,175,79.0,90.8,1,
62f3575ab51f8a773cde8ed1,147,64.1,64.5,1,
62f3575ab51f8a773cde8ed1,77,31.6,29.6,1,
62f3575ab51f8a773cde8ed1,61,36.3,42.9,0,
62f3575ab51f8a773cde8ed1,140,57.1,67.6,0,
62f3575ab51f8a773cde8ed1,21,19.3,1.8,0,
62f3575ab51f8a773cde8ed1,70,27.5,42.8,1,
62f3575ab51f8a773cde8ed1,79,32.6,25.8,1,
62f3575ab51f8a773cde8ed1,122,69.1,60.4,0,
62f3575ab51f8a773cde8ed1,191,82.6,100.0,1,
62f3575ab51f8a773cde8ed1,42,0.9,11.8,0,
62f3575ab51f8a773cde8ed1,78,29.4,26.9,0,
62f3575ab51f8a773cde8ed1,113,68.5,64.5,1,
62f3575ab51f8a773cde8ed1,129,66.1,59.0,1,
62f3575ab51f8a773cde8ed1,59,41.6,39.0,1,
62f3575ab51f8a773cde8ed1,9,22.1,22.4,1,
62f3575ab51f8a773cde8ed1,154,77.3,92.6,0,
62f3575ab51f8a773cde8ed1,102,72.8,55.6,1,
62f3575ab51f8a773cde8ed1,166,92.0,79.2,1,
62f3575ab51f8a773cde8ed1,172,89.5,98.5,0,
62f3575ab51f8a773cde8ed1,176,79.6,79.4,1,
62f3575ab51f8a773cde8ed1,37,7.0,4.1,0,
62f3575ab51f8a773cde8ed1,189,90.3,91.2,0,
62f3575ab51f8a773cde8ed1,11,21.6,3.4,1,
62f3575ab51f8a773cde8ed1,140,70.2,55.6,1,
62f3575ab51f8a773cde8ed1,70,46.5,30.7,1,
62f3575ab51f8a773cde8ed1,4,2.0,9.5,1,
62f3575ab51f8a773cde8ed1,72,38.3,29.1,0,
62f3575ab51f8a773cde8ed1,53,42.2,47.8,1,
62f3575ab51f8a773cde8ed1,76,43.3,29.9,0,
62f3575ab51f8a773cde8ed1,110,66.8,64.7,1,
62f3575ab51f8a773cde8ed1,191,84.9,79.5,1,
62f3575ab51f8a773cde8ed1,47,19.2,22.8,0,
62f3575ab51f8a773cde8ed1,181,76.0,91.2,0,
62f3575ab51f8a773cde8ed1,165,81.1,78.9,1,
62f3575ab51f8a773cde8ed1,4,20.3,0.6,0,
