UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,2127,65.7,54.6,1
62f3575ab51f8a773cde8ed1,627,13.9,8.8,1
62f3575ab51f8a773cde8ed1,32,19.5,24.0,1
62f3575ab51f8a773cde8ed1,2168,68.0,69.5,1
62f3575ab51f8a773cde8ed1,3875,81.9,98.7,1
62f3575ab51f8a773cde8ed1,1122,46.7,37.2,1
62f3575ab51f8a773cde8ed1,2962,65.1,70.5,1
62f3575ab51f8a773cde8ed1,3584,79.6,95.5,1
62f3575ab51f8a773cde8ed1,2262,51.4,55.0,1
62f3575ab51f8a773cde8ed1,2339,55.5,69.5,1
62f3575ab51f8a773cde8ed1,1973,25.2,30.1,1
62f3575ab51f8a773cde8ed1,331,22.2,3.9,1
62f3575ab51f8a773cde8ed1,710,18.0,8.0,1
62f3575ab51f8a773cde8ed1,476,0.0,7.6,1
62f3575ab51f8a773cde8ed1,2025,67.8,65.7,1
62f3575ab51f8a773cde8ed1,2447,65.4,56.7,1
62f3575ab51f8a773cde8ed1,1161,40.4,30.7,1
62f3575ab51f8a773cde8ed1,2826,55.4,65.0,1
62f3575ab51f8a773cde8ed1,948,9.2,2.4,1
62f3575ab51f8a773cde8ed1,306,21.2,4.3,1
62f3575ab51f8a773cde8ed1,2487,59.4,60.5,1
62f3575ab51f8a773cde8ed1,2486,74.3,66.5,1
62f3575ab51f8a773cde8ed1,1574,36.0,48.1,1
62f3575ab51f8a773cde8ed1,2895,68.1,50.5,1
62f3575ab51f8a773cde8ed1,3240,91.2,92.8,1
62f3575ab51f8a773cde8ed1,1773,29.2,30.5,1
62f3575ab51f8a773cde8ed1,1295,45.4,48.7,1
62f3575ab51f8a773cde8ed1,1719,50.0,46.4,1
62f3575ab51f8a773cde8ed1,1070,47.5,28.9,1
62f3575ab51f8a773cde8ed1,96,13.6,11.2,1
62f3575ab51f8a773cde8ed1,1003,29.1,48.7,1
62f3575ab51f8a773cde8ed1,116,16.3,14.9,1
62f3575ab51f8a773cde8ed1,2586,74.7,55.4,1
62f3575ab51f8a773cde8ed1,1124,42.8,39.3,1
62f3575ab51f8a773cde8ed1,447,20.2,2.6,1
62f3575ab51f8a773cde8ed1,119,13.8,19.2,1
62f3575ab51f8a773cde8ed1,3794,82.8,84.4,1
62f3575ab51f8a773cde8ed1,2172,70.7,56.2,1
62f3575ab51f8a773cde8ed1,1926,40.0,33.4,1
62f3575ab51f8a773cde8ed1,2570,51.7,62.8,1
62f3575ab51f8a773cde8ed1,2778,63.7,73.8,1
62f3575ab51f8a773cde8ed1,319,22.0,7.7,1
62f3575ab51f8a773cde8ed1,1999,40.6,34.6,1
62f3575ab51f8a773cde8ed1,3320,90.3,82.8,1
62f3575ab51f8a773cde8ed1,3223,89.4,94.4,1
62f3575ab51f8a773cde8ed1,2980,73.5,50.6,1
62f3575ab51f8a773cde8ed1,922,6.6,21.7,1
62f3575ab51f8a773cde8ed1,1784,37.3,28.6,1
62f3575ab51f8a773cde8ed1,3305,83.5,85.2,1
62f3575ab51f8a773cde8ed1,715,12.8,5.4,1
62f3575ab51f8a773cde8ed1,2784,50.4,54.9,1
62f3575ab51f8a773cde8ed1,91,19.4,21.8,1
62f3575ab51f8a773cde8ed1,2201,55.6,72.6,1
62f3575ab51f8a773cde8ed1,2908,68.6,73.3,1
62f3575ab51f8a773cde8ed1,43,14.5,11.6,1
62f3575ab51f8a773cde8ed1,633,3.9,19.5,1
62f3575ab51f8a773cde8ed1,3082,88.4,86.9,1
62f3575ab51f8a773cde8ed1,1533,49.8,36.4,1
62f3575ab51f8a773cde8ed1,3023,78.9,89.0,1
62f3575ab51f8a773cde8ed1,1936,29.0,32.7,1
62f3575ab51f8a773cde8ed1,1480,27.3,42.9,1
62f3575ab51f8a773cde8ed1,3114,84.5,92.7,1
62f3575ab51f8a773cde8ed1,2755,59.9,71.9,1
62f3575ab51f8a773cde8ed1,2051,73.2,62.4,1
62f3575ab51f8a773cde8ed1,3455,88.2,97.8,1
62f3575ab51f8a773cde8ed1,80,20.1,4.8,1
62f3575ab51f8a773cde8ed1,3740,85.8,79.9,1
62f3575ab51f8a773cde8ed1,3779,84.8,85.5,1
62f3575ab51f8a773cde8ed1,2991,69.1,53.8,1
62f3575ab51f8a773cde8ed1,3539,76.9,90.3,1
62f3575ab51f8a773cde8ed1,2404,54.3,66.2,1
62f3575ab51f8a773cde8ed1,1068,40.5,35.1,1
62f3575ab51f8a773cde8ed1,645,23.6,5.8,1
62f3575ab51f8a773cde8ed1,3096,76.9,79.9,1
62f3575ab51f8a773cde8ed1,346,1.9,4.8,1
62f3575ab51f8a773cde8ed1,144,24.4,7.6,1
62f3575ab51f8a773cde8ed1,3444,99.4,77.7,1
62f3575ab51f8a773cde8ed1,2879,64.0,73.8,1
62f3575ab51f8a773cde8ed1,3787,86.3,97.6,1
62f3575ab51f8a773cde8ed1,3990,91.3,89.8,1
62f3575ab51f8a773cde8ed1,2148,63.2,55.3,1
62f3575ab51f8a773cde8ed1,2582,56.6,62.6,1
62f3575ab51f8a773cde8ed1,2975,71.7,51.6,1
62f3575ab51f8a773cde8ed1,1334,49.7,45.6,1
62f3575ab51f8a773cde8ed1,3330,99.1,77.6,1
62f3575ab51f8a773cde8ed1,3265,92.7,99.8,1
62f3575ab51f8a773cde8ed1,2706,68.3,66.1,1
62f3575ab51f8a773cde8ed1,2726,59.5,54.7,1
62f3575ab51f8a773cde8ed1,666,19.3,22.4,1
62f3575ab51f8a773cde8ed1,3004,86.8,92.0,1
62f3575ab51f8a773cde8ed1,3468,95.2,85.9,1
62f3575ab51f8a773cde8ed1,3981,91.4,85.3,1
62f3575ab51f8a773cde8ed1,136,15.7,0.8,1
62f3575ab51f8a773cde8ed1,1870,45.8,35.1,1
62f3575ab51f8a773cde8ed1,3889,77.1,86.5,1
62f3575ab51f8a773cde8ed1,1920,37.2,44.9,1
62f3575ab51f8a773cde8ed1,3113,91.0,89.6,1
62f3575ab51f8a773cde8ed1,217,0.7,23.3,1
62f3575ab51f8a773cde8ed1,547,15.7,7.5,1
62f3575ab51f8a773cde8ed1,487,13.8,24.4,1
62f3575ab51f8a773cde8ed1,2461,66.9,52.8,1
62f3575ab51f8a773cde8ed1,2906,50.3,59.2,1
62f3575ab51f8a773cde8ed1,3230,85.5,84.1,1
62f3575ab51f8a773cde8ed1,3230,84.6,75.8,1
62f3575ab51f8a773cde8ed1,2026,53.1,50.1,1
62f3575ab51f8a773cde8ed1,1796,26.4,49.3,1
62f3575ab51f8a773cde8ed1,3706,82.0,91.1,1
62f3575ab51f8a773cde8ed1,1185,30.2,48.1,1
62f3575ab51f8a773cde8ed1,2585,62.4,50.5,1
62f3575ab51f8a773cde8ed1,3814,75.7,86.1,1
62f3575ab51f8a773cde8ed1,1496,45.4,41.2,1
62f3575ab51f8a773cde8ed1,2585,54.4,54.0,1
62f3575ab51f8a773cde8ed1,748,23.9,0.5,1
62f3575ab51f8a773cde8ed1,1538,38.1,49.7,1
